GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Algorithms_Maven,com.app.numbers.fibo,FibonacciBinet,0,25,0,2,0,5,0,3,0,2
Algorithms_Maven,com.app.numbers.fibo,FibonacciDynamic,0,46,0,4,0,9,0,4,0,2
Algorithms_Maven,com.app.numbers.fibo,FibonacciRecursive,0,20,0,2,0,4,0,3,0,2
Algorithms_Maven,com.app.numbers.fibo,FibonacciIterative,0,31,0,4,0,11,0,4,0,2
Algorithms_Maven,com.app.numbers.utility.recursion,NumberUtilityRecursion,0,138,0,18,0,29,0,14,0,5
Algorithms_Maven,com.app.numbers.position_systems,HexHelper,0,41,0,0,0,4,0,1,0,1
Algorithms_Maven,com.app.numbers.position_systems,Octal,0,97,0,14,0,22,0,10,0,3
Algorithms_Maven,com.app.numbers.position_systems,Binary,0,97,0,14,0,22,0,10,0,3
Algorithms_Maven,com.app.numbers.position_systems,Hexadecimal,0,126,0,18,0,28,0,14,0,5
Algorithms_Maven,com.app.text.utility,TextUtility,0,123,0,22,0,36,0,14,0,3
Algorithms_Maven,com.app.numbers.greedy_algorithm_gives_leftovers,Denominations,5,97,0,16,1,25,1,11,1,3
Algorithms_Maven,com.app.huffman,HuffmanUnpack,0,107,0,12,0,23,0,10,0,4
Algorithms_Maven,com.app.huffman,Node,12,25,0,4,1,4,1,4,1,2
Algorithms_Maven,com.app.huffman,HuffmanPack,0,248,0,18,0,40,0,17,0,8
Algorithms_Maven,com.app.cipher.caesar_cipher,CaesarCipher,0,148,0,24,0,29,0,15,0,3
Algorithms_Maven,com.app.numbers.sort,QuickSort,0,111,1,17,0,29,1,11,0,3
Algorithms_Maven,com.app.numbers.sort,InsertSort,0,78,0,12,0,16,0,8,0,2
Algorithms_Maven,com.app.numbers.sort,SelectSort,0,85,0,12,0,18,0,8,0,2
Algorithms_Maven,com.app.numbers.sort,MergeSort,0,129,0,16,0,32,0,12,0,4
Algorithms_Maven,com.app.numbers.sort,BubbelSort,0,81,0,12,0,15,0,8,0,2
Algorithms_Maven,com.app.numbers.sort,Sort,0,10,0,0,0,2,0,2,0,2
Algorithms_Maven,com.app.geometry.point,Point,52,123,5,17,1,16,7,15,2,9
Algorithms_Maven,com.app.morse_code,MorseCode,13,224,0,24,3,42,1,21,1,9
Algorithms_Maven,com.app.numbers.sieve_eratosthenes,SieveEratosthenes,15,70,2,12,3,12,3,8,1,3
Algorithms_Maven,com.app.geometry.line_function,LineFunction,0,38,0,4,0,4,0,4,0,2
Algorithms_Maven,com.app.geometry.line_segment,LineSegment,0,91,0,8,0,17,0,7,0,3
Algorithms_Maven,com.app.text.reverse_polish_notation,ReversePolishNotation,0,132,0,19,0,26,0,14,0,3
Algorithms_Maven,com.app.cipher.rsa_cipher,Keys,5,120,1,3,1,15,1,5,0,4
Algorithms_Maven,com.app.cipher.rsa_cipher,RSACipher,5,140,1,13,1,25,1,10,0,4
Algorithms_Maven,com.app.cipher.rsa_cipher,GeneratePrimeNumbers,0,29,0,6,0,7,0,4,0,1
Algorithms_Maven,com.app.numbers.polynomial,Polynomial,51,51,8,6,2,10,8,6,4,3
Algorithms_Maven,com.app.numbers.polynomial,PolynomialUtility,7,196,1,23,2,41,2,15,1,4
Algorithms_Maven,com.app.numbers.gcd,GcdSubtractRecursion,0,47,0,12,0,14,0,8,0,2
Algorithms_Maven,com.app.numbers.gcd,GcdEuclidRecursion,0,28,0,6,0,8,0,5,0,2
Algorithms_Maven,com.app.numbers.gcd,GcdSubtractIteration,0,43,0,12,0,14,0,8,0,2
Algorithms_Maven,com.app.numbers.gcd,GcdEuclidIteration,0,30,0,6,0,11,0,5,0,2
Algorithms_Maven,com.app.cipher.replacement_cipher,ReplacementCipher,0,65,0,8,0,12,0,7,0,3
Algorithms_Maven,com.app.numbers.utility.iteration,NumberUtilityIteration,0,248,0,54,0,54,0,33,0,6
