GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
algorithms,com.app.numbers.fibo,FibonacciBinet,0,22,0,2,0,4,0,2,0,1
algorithms,com.app.numbers.fibo,FibonacciDynamic,0,43,0,4,0,8,0,3,0,1
algorithms,com.app.numbers.fibo,FibonacciRecursive,0,17,0,2,0,3,0,2,0,1
algorithms,com.app.numbers.fibo,FibonacciIterative,0,28,0,4,0,10,0,3,0,1
algorithms,com.app.numbers.utility.recursion,NumberUtilityRecursion,0,138,0,18,0,29,0,14,0,5
algorithms,com.app.numbers.position_systems,HexHelper,0,41,0,0,0,14,0,1,0,1
algorithms,com.app.numbers.position_systems,Octal,0,97,0,14,0,22,0,10,0,3
algorithms,com.app.numbers.position_systems,Binary,0,97,0,14,0,22,0,10,0,3
algorithms,com.app.numbers.position_systems,Hexadecimal,0,126,0,18,0,28,0,14,0,5
algorithms,com.app.text.utility,TextUtility,0,123,0,22,0,36,0,14,0,3
algorithms,com.app.numbers.greedy_algorithm_gives_leftovers,GreedyChangeMaker,0,91,0,16,0,24,0,10,0,2
algorithms,com.app.huffman,HuffmanUnpack,0,88,0,12,0,20,0,9,0,3
algorithms,com.app.huffman,Node,0,16,0,4,0,3,0,3,0,1
algorithms,com.app.huffman,HuffmanPack,0,242,0,18,0,40,0,16,0,7
algorithms,com.app.huffman,HuffmanPack.Node,0,9,0,0,0,4,0,1,0,1
algorithms,com.app.cipher.caesar_cipher,CaesarCipher,0,142,0,24,0,28,0,14,0,2
algorithms,com.app.numbers.sort,QuickSort,0,108,1,17,0,28,1,10,0,2
algorithms,com.app.numbers.sort,InsertSort,0,75,0,12,0,15,0,7,0,1
algorithms,com.app.numbers.sort,BubbleSort,0,78,0,12,0,14,0,7,0,1
algorithms,com.app.numbers.sort,SelectSort,0,80,0,12,0,16,0,7,0,1
algorithms,com.app.numbers.sort,MergeSort,0,126,0,16,0,31,0,11,0,3
algorithms,com.app.numbers.sort,Sort,0,10,0,0,0,2,0,2,0,2
algorithms,com.app.geometry.point,Point,0,84,0,12,0,14,0,12,0,6
algorithms,com.app.morse_code,MorseCode,2,213,0,22,1,41,1,19,1,8
algorithms,com.app.numbers.sieve_eratosthenes,SieveEratosthenes,0,74,0,14,0,13,0,9,0,2
algorithms,com.app.geometry.line_function,LineFunction,0,26,0,4,0,3,0,3,0,1
algorithms,com.app.geometry.line_segment,LineSegment,0,82,0,8,0,16,0,6,0,2
algorithms,com.app.text.reverse_polish_notation,ReversePolishNotation,0,132,0,19,0,26,0,14,0,3
algorithms,com.app.cipher.rsa_cipher,Keys,5,108,1,3,1,14,1,4,0,3
algorithms,com.app.cipher.rsa_cipher,RSACipher,0,139,0,14,0,25,0,10,0,3
algorithms,com.app.cipher.rsa_cipher,GeneratePrimeNumbers,0,29,0,6,0,7,0,4,0,1
algorithms,com.app.numbers.polynomial,Polynomial,0,45,0,6,0,9,0,5,0,2
algorithms,com.app.numbers.polynomial,PolynomialUtility,2,190,1,23,1,40,1,14,0,3
algorithms,com.app.numbers.gcd,GcdSubtractRecursion,0,44,0,12,0,13,0,7,0,1
algorithms,com.app.numbers.gcd,GcdEuclidRecursion,0,25,0,6,0,7,0,4,0,1
algorithms,com.app.numbers.gcd,GcdSubtractIteration,0,40,0,12,0,13,0,7,0,1
algorithms,com.app.numbers.gcd,GcdEuclidIteration,0,27,0,6,0,10,0,4,0,1
algorithms,com.app.cipher.replacement_cipher,ReplacementCipher,0,62,0,8,0,11,0,6,0,2
algorithms,com.app.numbers.utility.iteration,NumberUtilityIteration,0,248,0,54,0,54,0,33,0,6
